Scanner,Session,Copyright,family,Species,Genus,number,Collection,length,photo,scan lot,symbol,group filename,scan date,Month,Year,kV,uA,Filter,Detector,rotation,Voxel size,slices length,Scan Quality,isolated,fish only ,STL,who uploaded,when uploaded,spec. image,Comments,User1,User2,User3,Backup Drive ,oVert Tag#
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Nadzikambia mlanjense,Nadzikambia,145580,USNM,,,,Triangle,ChameleonTube15,5/3/17,5,2017,65,123,1mmAl,2K,0.3,26,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma linotum,Calumma,149831,USNM,,,,L,ChameleonTube15,5/3/17,5,2017,65,123,1mmAl,2K,0.3,26,,,,,,Alifaire Noreen,6/27/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma nasutum,Calumma,163512,USNM,,,,N,ChameleonTube15,5/3/17,5,2017,65,123,1mmAl,2K,0.3,26,,,,,,Alifaire Noreen,6/21/2018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma gastrotaenia,Calumma,149878,USNM,,,,Y,ChameleonTube15,5/3/17,5,2017,65,123,1mmAl,2K,0.3,26,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros fuelleborni,Trioceros,R-31325,MCZ,,,,U,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros fuelleborni,Trioceros,R-31324,MCZ,,,,H,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros tempeli,Trioceros,R-31243,MCZ,,,,I,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/212018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros tempeli,Trioceros,R-31237,MCZ,,,,V,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros werneri,Trioceros,R-31336,MCZ,,,,N,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros werneri,Trioceros,R-31337,MCZ,,,,J,ChameleonTube16,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros melleri,Trioceros,R-47258,MCZ,,,,M,ChameleonTube17,5/3/17,5,2017,65,123,1mmAl,2K,0.3,25.7,,,,,,,,,,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros deremensis,Trioceros,R-24241,MCZ,,,,T,ChameleonTube17,5/3/17,5,2017,65,123,1mmAl,2K,0.3,25.7,,,,,,,,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros deremensis,Trioceros,R-24242,MCZ,,,,F,ChameleonTube17,5/3/17,5,2017,65,123,1mmAl,2K,0.3,25.7,,,,,,,,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Furcifer lateralis,Furcifer,R-11593,MCZ,,,,P,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/28/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros oweni,Trioceros,R-13248,MCZ,,,,I,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros oweni,Trioceros,R-7829,MCZ,,,,C,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros goetzei,Trioceros,R-31195,MCZ,,,,+,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia xenorhina,Kinyongia,R-47255,MCZ,,,,E,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/21/2018,,Female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia xenorhina,Kinyongia,R-47254,MCZ,,,,V,ChameleonTube18,5/3/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros bitaeniatus,Trioceros,R-41725,MCZ,,,,I,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Furcifer polleni,Furcifer,R-33351,MCZ,,,,K,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros schoutedeni,Trioceros,R-59160,MCZ,,,,Y,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Nadzikambia mlanjensis,Nadzikambia,R-171998,MCZ,,,,T,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia excubitor,Kinyongia,R-54395,MCZ,,,,L,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia excubitor,Kinyongia,R-54396,MCZ,,,,heart,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros camerunensis,Trioceros,R-15001,MCZ,,,,F,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Furcifer cephalolepis,Furcifer,R-21057,MCZ,,,,O,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rhampholeon platyceps,Rhampholeon,R-50749,MCZ,,,,M,ChameleonTube19,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma furcifer,Calumma,R-37230,MCZ,,,,F,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,Male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo anchietae,Chamaeleo,R-31186,MCZ,,,,2,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Bradypodion damaranum,Bradypodion,R-14189,MCZ,,,,J,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo senegalensis,Chamaeleo,R-51765,MCZ,,,,I,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo laevigatus,Chamaeleo,R-47151,MCZ,,,,H,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Bradypodion caffer,Bradypodion,R-42632,MCZ,,,,T,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Archaius tigris,Archaius,R-3080,MCZ,,,,X,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia oxyrhina,Kinyongia,62944,UF,,,,Y,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros laterispinis,Trioceros,62945,UF,,,,V,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia boehmei,Kinyongia,126322,UF,,,,M,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/28/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Trioceros feae,Trioceros,207671,CAS,,,,L,ChameleonTube23,5/4/17,5,2017,65,123,1mmAl,2K,0.3,34.6,,,,,,Alifaire Noreen,6/27/2018,,female; repeat scan from ChameleonTube6 were head but cut off,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo monachus,Chamaeleo,R-18028,MCZ,,,,Y,ChameleonTube20,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo dilepis,Chamaeleo,R-29452,MCZ,,,,D,ChameleonTube20,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo gracilis,Chamaeleo,R-96837,MCZ,,,,square,ChameleonTube20,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo chamaeleon recticrista,Chamaeleo,R-45247,MCZ,,,,triangle,ChameleonTube20,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Chamaeleo arabicus,Chamaeleo,R-47855,MCZ,,,,T,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,,,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma cucullatum,Calumma,R-24736,MCZ,,,,L,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma globifer,Calumma,R-19719,MCZ,,,,N,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma oshaughnessyi,Calumma,R-189654,MCZ,,,,Y,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,,,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma oshaughnessyi,Calumma,R-189658,MCZ,,,,V,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Kinyongia multituberculata,Kinyongia,,CVAnderson,,,,triangle,ChameleonTube21,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,,,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rieppeleon brachyura,Rieppeleon,R-52423,MCZ,,,,V,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Palleon nasus,Palleon,R-189661,MCZ,,,,P,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Brookesia peyrierasi,Brookesia,R-180295,MCZ,,,,I,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma gallus,Calumma,R-45287,MCZ,,,,J,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma gallus,Calumma,R-45288,MCZ,,,,F,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma glawi,Calumma,R-189628,MCZ,,,,heart,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rhampholeon marshalli,Rhampholeon,R-44439,MCZ,,,,N,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rhampholeon marshalli,Rhampholeon,R-162927,MCZ,,,,U,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Brookesia superciliaris,Brookesia,63625,UF,,,,T,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Brookesia superciliaris,Brookesia,63626,UF,,,,K,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rieppeleon brevicaudatus,Rieppeleon,65354,UF,,,,+,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Rieppeleon brevicaudatus,Rieppeleon,65355,UF,,,,C,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,female,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Brookesia stumpffi,Brookesia,166896,UF,,,,O,ChameleonTube22,5/5/17,5,2017,65,123,1mmAl,2K,0.3,35,,,,,,Alifaire Noreen,6/27/2018,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma parsonii parsonii,Calumma,78648,UF,,,,M,ChameleonTube24,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,A. von Hagel,8/14/2017,,male,,,,,
Bruker Skyscan 1173,Anderson,,Chamaeleonidae,Calumma parsonii parsonii,Calumma,78649,UF,,,,F,ChameleonTube24,5/5/17,5,2017,65,123,1mmAl,2K,0.3,30,,,,,,A. von Hagel,8/14/2017,,female,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,Z,PygopristisLg,5/6/17,5,2017,65,123,1mm Al,2K,0.4,33.5,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,W,PygopristisLg,5/6/17,5,2017,65,123,1mm Al,2K,0.4,33.5,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,V,PygopristisLg,5/6/17,5,2017,65,123,1mm Al,2K,0.4,33.5,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,T,PygopristisMd,5/6/17,5,2017,65,124,1mm Al,2K,0.4,17.8,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,X,PygopristisMd,5/6/17,5,2017,65,125,1mm Al,2K,0.4,17.8,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,U,PygopristisMd,5/6/17,5,2017,65,126,1mm Al,2K,0.4,17.8,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Pygopristis denticulata,Pygopristis,36164,AUM,,Y,,N/Z,PygopristisMd,5/6/17,5,2017,65,127,1mm Al,2K,0.4,17.8,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Belonion apodion,Belonion,216734,USNM,,Y,,F,BelonionCan2,5/6/17,5,2017,65,127,1mm Al,2K,0.4,16,,,,,,A. von Hagel,8/14/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Belonion apodion,Belonion,216734,USNM,,Y,,diamond,BelonionCan2,5/6/17,5,2017,65,127,1mm Al,2K,0.4,16,,,,,,Jonathan Huie,8/18/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Belonion apodion,Belonion,216734,USNM,,Y,,wedge,BelonionCan2,5/6/17,5,2017,65,127,1mm Al,2K,0.4,16,,,,,,Jonathan Huie,9/7/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Belonion dibranchodon,Belonion,78499,CUMV,,Y,,triangle (acute),BelonionCan2,5/6/17,5,2017,65,127,1mm Al,2K,0.4,16,,,,,,Jonathan Huie,9/7/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Belonion dibranchodon,Belonion,78499,CUMV,,Y,,little T,BelonionCan2,5/6/17,5,2017,65,127,1mm Al,2K,0.4,16,,,,,,Jonathan Huie,9/7/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Dermogenys collettei,Dermogenys,320501,USNM,,Y,,T,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Dermogenys collettei,Dermogenys,320501,USNM,,Y,,Y,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Nomorhamphus brembachi,Nomorhamphus,292795,USNM,,Y,,fat L,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Nomorhamphus brembachi,Nomorhamphus,292795,USNM,,Y,,skinny V,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Zenarchopterus dispar,Zenarchopterus,137914,USNM,,Y,,diamond,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Pseudotylosurus microps,Pseudotylosurus,308327,USNM,,Y,,x or +,NeedlerCan3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,26,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Potamotrygonidae,Potamotrygon leopoldi,Potamotrygon,,ROM,,Y,,R outline,Pleopoldi3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,31,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Urotrygonidae,Urotrygon sp.,Urotrygon,,CAS,,Y,,,Pleopoldi3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,31,,,,,,,,,CAS had misID'ed as P. magdalenae?!,,,,,
Bruker Skyscan 1173,Kolmann,,Urotrygonidae,Urotrygon sp.,Urotrygon,,CAS,,Y,,,Pleopoldi3,5/6/17,5,2017,65,127,1mm Al,2K,0.4,31,,,,,,,,,CAS had misID'ed as P. magdalenae?!,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,diamond,Roeboides_Charax_Md,5/7/17,5,2017,65,127,1mm Al,2K,0.4,25.3,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,heart,Roeboides_Charax_Md,5/7/17,5,2017,65,127,1mm Al,2K,0.4,25.3,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,x or +,Roeboides_Charax_Md,5/7/17,5,2017,65,127,1mm Al,2K,0.4,25.3,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,bar,Roeboides_Charax_Md,5/7/17,5,2017,65,127,1mm Al,2K,0.4,25.3,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,V,Roeboides_Charax_Md,5/7/17,5,2017,65,127,1mm Al,2K,0.4,25.3,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,T,Roeboides_Charax_Sm,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,x or +,Roeboides_Charax_Sm,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,V,Roeboides_Charax_Sm,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,skinny P,Roeboides_Charax_Sm,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,N or Z,Roeboides_Charax_Lg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,X,Roeboides_Charax_Lg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Charax sp (cf. pauciradiatus) ,Charax,45439,AUM,,Y,,Y,Roeboides_Charax_Lg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,T,Roeboides_Charax_Lg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Characidae,Roeboides affinis,Roeboides,44838,AUM,,Y,,F,Roeboides_Charax_Lg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,Jalene Weatherholt,12/12/2017,,,,,,,
Bruker Skyscan 1173,Kolmann,,Heterodontidae,Heterodontus francisci,Heterodontus,,FHL,,N,,lg head in jar,HfrancisciLg,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Potamorrhaphis eigenmanni,Potamorrhaphis,77951,CUMV,,Y,,little square,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Potamorrhaphis eigenmanni,Potamorrhaphis,77951,CUMV,,Y,,V,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Potamorrhaphis eigenmanni,Potamorrhaphis,77951,CUMV,,Y,,Y cutout,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Potamorrhaphis guianensis,Potamorrhaphis,76874,CUMV,,Y,,checkmark,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Potamorrhaphis guianensis,Potamorrhaphis,76874,CUMV,,Y,,P cutout,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Strongylura notata,Strongylura,75110,CUMV,,Y,,Z or N,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Strongylura incisa,Strongylura,77842,CUMV,,Y,,large C,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Strongylura incisa,Strongylura,77842,CUMV,,Y,,bar,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Belonidae,Strongylura scapularis,Strongylura,206674,USNM,,Y,,large F,NeedlerCan2,5/7/17,5,2017,65,127,1mm Al,2K,0.4,,,,,,,,,,,,,,,
